DateTime,Month,Actual,Consensus,Previous,Revised
3/28/2007,3.00,4.4,4.5,,
4/26/2007,4.00,5.7,4.5,4.4,
5/25/2007,5.00,7.4,6,5.7,5.5
6/25/2007,6.00,8.5,7.8,7.4,7.3
7/27/2007,7.00,8.5,8.6,8.5,8.4
8/29/2007,8.00,7.4,8.5,8.5,8.7
9/26/2007,9.00,6.7,7,7.4,7.6
10/26/2007,10.00,4.8,6.5,6.7,6.8
11/28/2007,11.00,4.4,4.4,4.8,4.9
12/20/2007,12.00,4.5,4,4.4,4.3
1/25/2008,1.00,4.5,4.3,4.5,
2/27/2008,2.00,4.5,4.4,4.5,
3/27/2008,3.00,4.8,4.4,4.5,
4/28/2008,4.00,5.6,,4.8,4.6
5/27/2008,5.00,4.7,5.7,5.6,5.9
6/24/2008,6.00,3.6,4.9,4.7,4.9
7/28/2008,7.00,2.1,,3.6,3.9
8/26/2008,8.00,1.6,2,2.1,
9/25/2008,9.00,1.8,1.3,1.6,1.5
10/28/2008,10.00,1.9,1.5,1.8,
11/25/2008,11.00,2.1,1.5,1.9,
12/22/2008,12.00,2.2,2.1,2.1,2.2
1/28/2009,1.00,2.3,1.9,2.2,2.1
2/26/2009,2.00,2.5,2,2.3,2.2
3/26/2009,3.00,2.5,2.5,2.5,2.6
4/27/2009,4.00,2.6,2.3,2.5,2.4
5/26/2009,5.00,2.7,2.5,2.6,2.5
6/23/2009,6.00,3,2.5,2.7,2.5
7/27/2009,7.00,3.4,,3,2.9
8/27/2009,8.00,3.8,3.6,3.4,3.5
9/25/2009,9.00,4.2,,3.8,
10/26/2009,10.00,3.9,4.5,4.2,4.3
11/25/2009,11.00,3.6,4.2,3.9,4
12/22/2009,12.00,3.4,3.6,3.6,3.7
1/25/2010,1.00,3.3,3.2,3.4,3.3
2/24/2010,2.00,3.2,3.1,3.3,3.2
3/25/2010,3.00,3.4,3.1,3.2,
4/27/2010,4.00,3.7,3.3,3.4,3.2
5/26/2010,5.00,3.5,3.7,3.7,3.8
6/23/2010,6.00,3.7,3.3,3.5,
7/27/2010,7.00,4.1,3.6,3.7,3.5
8/26/2010,8.00,4.4,4.1,4.1,3.9
9/28/2010,9.00,5,4.2,4.4,4.3
10/26/2010,10.00,5.2,5.2,5,4.9
11/23/2010,11.00,5.5,5.1,5.2,5.1
12/21/2010,12.00,5.6,5.7,5.5,
1/25/2011,1.00,5.8,5.4,5.6,5.5
2/22/2011,2.00,6,,5.8,5.7
3/29/2011,3.00,5.9,5.9,6,
4/27/2011,4.00,5.7,5.9,5.9,
5/25/2011,5.00,5.6,5.7,5.7,
6/28/2011,6.00,5.5,5.3,5.6,5.5
7/26/2011,7.00,5.3,5.6,5.5,5.7
8/25/2011,8.00,5.2,5.2,5.3,5.4
9/27/2011,9.00,5.2,5.1,5.2,
10/25/2011,10.00,5.4,5.1,5.2,
11/28/2011,11.00,5.6,5.2,5.4,5.3
12/20/2011,12.00,5.7,5.6,5.6,
1/26/2012,1.00,5.9,5.6,5.7,5.7
2/28/2012,2.00,6,6,5.9,
3/27/2012,3.00,5.8,6.1,6,
4/27/2012,4.00,5.7,5.9,5.8,5.9
5/25/2012,5.00,5.7,5.6,5.7,5.6
6/26/2012,6.00,5.8,5.6,5.7,
7/26/2012,7.00,5.9,5.8,5.8,
8/28/2012,8.00,5.9,5.8,5.9,
9/25/2012,9.00,5.9,5.9,5.9,
10/26/2012,10.00,6.1,5.9,5.9,5.9
11/26/2012,11.00,5.8,6.2,6.1,6.3
12/21/2012,12.00,5.7,5.9,5.8,5.9
1/29/2013,1.00,5.8,5.7,5.7,5.6
2/27/2013,2.00,5.9,5.9,5.8,
3/27/2013,3.00,6,5.9,5.9,
4/30/2013,4.00,6.2,5.9,6,5.9
5/24/2013,5.00,6.5,6.2,6.2,
6/26/2013,6.00,6.8,6.5,6.5,
7/30/2013,7.00,7,6.9,6.8,
8/28/2013,8.00,7,7.1,7,
9/25/2013,9.00,7.1,7,7,6.9
10/31/2013,10.00,7.1,7.2,7.1,
11/27/2013,11.00,7.4,7.1,7.1,7
12/20/2013,12.00,7.7,7.4,7.4,
1/29/2014,1.00,8.3,7.6,7.7,7.6
2/26/2014,2.00,8.5,8.2,8.3,8.2
3/26/2014,3.00,8.5,8.5,8.5,
4/29/2014,4.00,8.5,8.5,8.5,
5/26/2014,5.00,8.6,8.5,8.5,
6/25/2014,6.00,8.9,8.5,8.6,8.5
7/25/2014,7.00,8.9,8.9,8.9,
8/27/2014,8.00,8.6,9,8.9,9
9/26/2014,9.00,8.4,8.5,8.6,
10/24/2014,10.00,8.5,8,8.4,8.3
11/27/2014,11.00,8.7,8.6,8.5,
12/19/2014,12.00,9,8.8,8.7,
1/28/2015,1.00,9.3,9.1,9,
2/26/2015,2.00,9.7,9.5,9.3,
3/26/2015,3.00,10,9.8,9.7,
4/23/2015,4.00,10.1,10.2,10,
5/27/2015,5.00,10.2,10,10.1,
6/25/2015,6.00,10.1,10.2,10.2,
7/29/2015,7.00,10.1,10.1,10.1,
8/21/2015,8.00,9.9,10.1,10.1,
9/24/2015,9.00,9.6,9.8,9.9,
10/28/2015,10.00,9.4,9.4,9.6,9.6
11/27/2015,11.00,9.3,9.2,9.4,
12/22/2015,12.00,9.4,9.3,9.3,
1/27/2016,1.00,9.4,9.3,9.4,
